[begin_FlightDyn]
title   {t(s),v(m/s),¦È(deg),¦×(deg),¦Øx(rad/s),¦Øy(rad/s),¦Øz(rad/s),¦Õa(deg),¦Õ2(deg),¦Ã(deg),x(m),y(m),z(m)}
output
{0,800,0.872665,0,1600,0,0,0.872665,0,0,0,0,0;
0.675,773.618,49.6899,0.00823039,1585.73,0.00167122,-0.00366875,49.687,0.0250926,61600.5,342.4,405.856,0.036378;
0.68,773.429,49.6876,0.00826274,1585.63,0.000979638,-0.00321244,49.686,0.0247073,62054.8,344.902,408.805,0.0369347;
0.685,773.24,49.6852,0.00829442,1585.53,0.000119229,-0.00304796,49.6851,0.0245482,62509,347.404,411.753,0.0374934;
0.69,773.051,49.6829,0.00832595,1585.43,-0.000725303,-0.0032226,49.6842,0.0246377,62963.2,349.905,414.701,0.0380541;
0.695,772.863,49.6805,0.00835782,1585.32,-0.00137631,-0.00366899,49.6832,0.0249449,63417.4,352.406,417.648,0.0386167;
0.7,772.674,49.6782,0.00839042,1585.22,-0.00172821,-0.00423088,49.6821,0.025397,63871.6,354.906,420.594,0.0391815;
0.705,772.486,49.6758,0.00842397,1585.12,-0.00178523,-0.00472171,49.6808,0.0259061,64325.7,357.406,423.539,0.0397483;
0.71,772.297,49.6735,0.00845851,1585.02,-0.00165801,-0.0049939,49.6794,0.0264015,64779.8,359.905,426.483,0.0403172;
0.715,772.109,49.6712,0.00849396,1584.92,-0.00152076,-0.00499307,49.678,0.0268548,65233.8,362.403,429.427,0.0408884;
0.72,771.921,49.6688,0.00853024,1584.81,-0.00154509,-0.00477712,49.6766,0.0272886,65687.9,364.902,432.369,0.0414619;
0.725,771.733,49.6665,0.00856738,1584.71,-0.00183532,-0.00449324,49.6753,0.0277662,66141.9,367.399,435.311,0.0420377;
0.73,771.545,49.6641,0.00860554,1584.61,-0.00238947,-0.00432192,49.674,0.0283662,66595.8,369.897,438.252,0.0426159;
0.735,771.357,49.6618,0.00864506,1584.51,-0.00310004,-0.00440888,49.6728,0.0291509,67049.8,372.393,441.192,0.0431965;
0.74,771.169,49.6595,0.00868634,1584.41,-0.00379421,-0.00481037,49.6714,0.0301411,67503.7,374.889,444.132,0.0437798;
0.745,770.981,49.6571,0.0087298,1584.31,-0.00429806,-0.00547216,49.67,0.0313064,67957.6,377.385,447.07,0.0443657;
0.75,770.793,49.6548,0.00877572,1584.2,-0.00450077,-0.00624979,49.6683,0.0325743,68411.4,379.881,450.008,0.0449545;
0.755,770.606,49.6525,0.00882422,1584.1,-0.00439501,-0.00696219,49.6664,0.0338548,68865.3,382.375,452.945,0.0455464;
0.76,770.418,49.6501,0.00887523,1584,-0.00407847,-0.00745845,49.6643,0.0350716,69319.1,384.87,455.881,0.0461414;
0.765,770.231,49.6478,0.00892856,1583.9,-0.00371645,-0.00767293,49.6622,0.036187,69772.8,387.363,458.816,0.0467398;
0.77,770.044,49.6455,0.00898399,1583.8,-0.00347961,-0.00764814,49.66,0.0372131,70226.6,389.857,461.751,0.0473417;
0.775,769.857,49.6431,0.00904138,1583.7,-0.00348025,-0.00751718,49.6578,0.0382039,70680.3,392.35,464.684,0.0479473;
0.78,769.669,49.6408,0.00910073,1583.6,-0.00373091,-0.00745262,49.6556,0.0392318,71134,394.842,467.617,0.0485566;
0.785,769.482,49.6385,0.00916218,1583.49,-0.00414048,-0.00760102,49.6535,0.0403575,71587.6,397.334,470.549,0.0491699;
0.79,769.295,49.6362,0.00922595,1583.39,-0.00454904,-0.00802772,49.6513,0.0416043,72041.2,399.825,473.48,0.0497871;
0.795,769.109,49.6338,0.00929228,1583.29,-0.00478807,-0.00869219,49.6489,0.0429475,72494.8,402.316,476.411,0.0504087;
0.8,768.922,49.6315,0.00936129,1583.19,-0.00474353,-0.00946316,49.6463,0.04432,72948.4,404.806,479.34,0.0510346;
0.805,768.735,49.6291,0.00943295,1583.09,-0.00439828,-0.0101673,49.6435,0.0456357,73401.9,407.296,482.269,0.051665;
0.81,768.549,49.6268,0.00950705,1582.99,-0.00383805,-0.0106535,49.6405,0.0468187,73855.4,409.786,485.197,0.0523002;
0.815,768.362,49.6245,0.00958324,1582.89,-0.00321921,-0.0108479,49.6374,0.0478288,74308.9,412.275,488.124,0.0529403;
0.82,768.176,49.6221,0.00966117,1582.79,-0.00271049,-0.0107805,49.6343,0.0486739,74762.4,414.763,491.051,0.0535854;
0.825,767.99,49.6198,0.00974053,1582.69,-0.00243055,-0.0105725,49.6312,0.0494042,75215.8,417.251,493.976,0.0542356;
0.83,767.803,49.6174,0.00982116,1582.59,-0.0024048,-0.0103895,49.6282,0.0500915,75669.2,419.739,496.901,0.0548911;
0.835,767.617,49.6151,0.00990301,1582.49,-0.00255722,-0.0103796,49.6252,0.0507998,76122.5,422.226,499.825,0.0555518;
0.84,767.431,49.6127,0.00998619,1582.38,-0.00274018,-0.0106171,49.6222,0.05156,76575.9,424.712,502.748,0.0562178;
0.845,767.245,49.6104,0.0100708,1582.28,-0.00279069,-0.0110757,49.6191,0.052357,77029.2,427.198,505.67,0.0568894;
